rowname,x,y;;;
20940177705,18.389763,-34.00767;;;
20940177706,18.389893,-34.007428;;;
20940177707,18.39306,-34.00998;;;
20940177708,18.389248,-34.007978;;;
20940177709,18.390418,-34.00779;;;
20940177710,18.39219,-34.007232;;;
20940177711,18.399525,-34.00437;;;
20940177712,18.399112,-34.003357;;;
20940177713,18.40526,-34.010128;;;
20940177714,18.409308,-34.007943;;;
20940177715,18.415403,-34.006533;;;
20940177716,18.424262,-33.994005;;;
20940177717,18.424457,-33.992845;;;
20940177718,18.424533,-33.993128;;;
20940177719,18.425498,-33.987588;;;
20940177720,18.446997,-33.970545;;;
20940177721,18.453607,-33.959843;;;
20940177722,18.453773,-33.959413;;;
20940177723,18.454922,-33.95874;;;
20940177724,18.4576,-33.955333;;;
20940177725,18.457443,-33.955433;;;
20940177726,18.457387,-33.955485;;;
20940177727,18.457457,-33.955218;;;
20940177728,18.456625,-33.95638;;;
20940177729,18.458687,-33.95576;;;
20940177730,18.459322,-33.955607;;;
20940177731,18.459058,-33.955888;;;
20940177732,18.458748,-33.955573;;;
20940177733,18.458493,-33.955588;;;
20940177734,18.458557,-33.955627;;;
20940177735,18.458325,-33.955438;;;
20940177736,18.458868,-33.955675;;;
20940177737,18.462273,-33.953227;;;
20940177738,18.464643,-33.951543;;;
20940177739,18.462027,-33.94918;;;
20940177740,18.4631,-33.945168;;;
20940177741,18.462343,-33.943748;;;
20940177742,18.462605,-33.943662;;;
20940177743,18.462722,-33.943978;;;
20940177744,18.462738,-33.943988;;;
20940177745,18.46274,-33.943968;;;
20940177746,18.46246,-33.944067;;;
20940177747,18.46213,-33.945475;;;
20940177748,18.45968,-33.946982;;;
20940177749,18.457402,-33.949043;;;
20940177750,18.457508,-33.950848;;;
20940177751,18.457417,-33.950845;;;
20940177752,18.457472,-33.95075;;;
20940177753,18.45743,-33.95066;;;
20940177754,18.457275,-33.950923;;;
20940177755,18.457425,-33.950815;;;
20940177756,18.457317,-33.950875;;;
20940177757,18.45989,-33.950633;;;
20940177758,18.459825,-33.950567;;;
20940177759,18.459902,-33.95057;;;
20940177760,18.459882,-33.950605;;;
20940177761,18.461175,-33.950818;;;
20940177762,18.46088,-33.950498;;;
20940177763,18.46116,-33.950815;;;
20940177764,18.461738,-33.95201;;;
20940177765,18.461347,-33.951858;;;
20940177766,18.461335,-33.951848;;;
20940177767,18.46143,-33.951907;;;
